num_estacion,lat,lon,nombre
270,-34.640114,-58.43026,Beauchef
271,-34.63008,-58.47426,Venancio Flores
272,-34.5883744,-58.4668651,PLAZA MALAVER
273,-34.61668,-58.4466674,GAINZA
274,-34.5563511,-58.4630428,Ciudad De La Paz
275,-34.5619095,-58.4585729,PLAZA NORUEGA
276,-34.559476,-58.4699652,FREIRE
277,-34.5634645,-58.4360367,PLAZA BOLIVIA
278,-34.564083,-58.469789,MONROE
279,-34.6074177,-58.4047854,CASTELLI Y PERON
280,-34.6333113,-58.4494755,SIMON BOLIVAR
281,-34.6138773,-58.4583742,Plaza Irlanda
282,-34.5699743,-58.4562794,PLAZOLETA PORTUGAL
283,-34.6355054,-58.456035,BALDOMERO
284,-34.6311092,-58.4350943,RIGLOS
285,-34.6172122,-58.3561752,Reserva Ecologica
286,-34.6304712,-58.4551112,BONIFACIO Y CARABOBO
287,-34.6103343,-58.4409183,HIDALGO
288,-34.6404886,-58.4429517,MIRO
289,-34.5597934,-58.4484316,BARRANCAS DE BELGRANO
290,-34.6186003,-58.4456027,FERROCARRIL OESTE
291,-34.616985,-58.381621,UADE
292,-34.634796,-58.378109,PLAZA RICARDO LLERAS
293,-34.6264943,-58.4324405,Bonifacio
294,-34.5458835,-58.4520062,Udaondo
295,-34.624802,-58.437683,Calasanz
296,-34.632961,-58.462547,PEDERNERA
297,-34.640978,-58.466118,QUIRNO
298,-34.634443,-58.463437,Plazoleta 11 de Noviembre
299,-34.631486,-58.466293,CULPINA
300,-34.6513917,-58.4327288,PERITO MORENO
301,-34.644841,-58.431785,HOMERO MANZI
302,-34.651955,-58.415423,PLAZA NUEVA POMPEYA
303,-34.5577145,-58.4626871,RIVERA
304,-34.589409,-58.484204,Agronomia II
305,-34.612684,-58.44487,Rojas
306,-34.608465,-58.45585,Paysandu y Galicia
307,-34.6451626,-58.365323,Plaza Almirante Brown
308,-34.567639,-58.436847,Solar de la Abadía
309,-34.6350001,-58.367059,IRALA
310,-34.63819,-58.37747,Plaza Sergio Karakachoff
311,-34.5972098,-58.47421143,Hospital Alvear
312,-34.629028,-58.4769111,CONCORDIA
313,-34.565003,-58.4449536,UNIVERSIDAD DE BELGRANO
314,-34.61047,-58.4602399,SOR JUANA
